"x" "y"
"1" 439054.460719589 6453009.24854603
"2" 581054.460719589 6555009.24854603
"3" 311054.460719589 6502009.24854603
"4" 377054.460719589 6706009.24854603
"5" 478054.460719589 6832009.24854603
"6" 499054.460719589 6951009.24854603
"7" 632054.460719589 6573009.24854603
"8" 509054.460719589 6750009.24854603
"9" 697054.460719589 7332009.24854603
"10" 564054.460719589 6607009.24854603
"11" 659054.460719589 6639009.24854603
"12" 462054.460719589 6989009.24854603
"13" 641054.460719589 6618009.24854603
"14" 656054.460719589 6591009.24854603
"15" 388054.460719589 6470009.24854603
"16" 373054.460719589 6565009.24854603
"17" 436054.460719589 6438009.24854603
"18" 397054.460719589 6651009.24854603
"19" 557054.460719589 6754009.24854603
"20" 370054.460719589 6445009.24854603
"21" 306054.460719589 6707009.24854603
"22" 612054.460719589 6633009.24854603
"23" 904054.460719589 7667009.24854603
"24" 450054.460719589 6703009.24854603
"25" 640054.460719589 6559009.24854603
"26" 503054.460719589 6939009.24854603
"27" 674054.460719589 6786009.24854603
"28" 675054.460719589 6718009.24854603
"29" 607054.460719589 6611009.24854603
"30" 447054.460719589 6729009.24854603
"31" 522054.460719589 7059009.24854603
"32" 529054.460719589 6790009.24854603
"33" 606054.460719589 6596009.24854603
"34" 583054.460719589 6756009.24854603
"35" 698054.460719589 7434009.24854603
"36" 750054.460719589 7469009.24854603
"37" 875054.460719589 7693009.24854603
"38" 374054.460719589 6460009.24854603
"39" 1062054.46071959 7717009.24854603
"40" 443054.460719589 6489009.24854603
"41" 634054.460719589 6726009.24854603
"42" 516054.460719589 6639009.24854603
"43" 567054.460719589 6615009.24854603
"44" 500054.460719589 6932009.24854603
"45" 1075054.46071959 7789009.24854603
"46" 971054.460719589 7796009.24854603
"47" 429054.460719589 6452009.24854603
"48" 588054.460719589 6660009.24854603
"49" 607054.460719589 6655009.24854603
"50" 619054.460719589 6618009.24854603
"51" 616054.460719589 6616009.24854603
"52" 505054.460719589 6942009.24854603
