"","modelID","species","method","replication","replicationID","success","training","test.dep","test.indep","AUC","COR","Deviance","TSS"
"1",1,"Ajuga_reptans","glm","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.841,0.412,0.307041578457129,0.643
"2",2,"Ajuga_reptans","glm","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.901,0.246,0.302409313672671,0.724
"3",3,"Ajuga_reptans","glm","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.807,0.251,0.354721044350496,0.675
"4",4,"Ajuga_reptans","glm","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.85,0.327,0.317723960492182,0.601
"5",5,"Ajuga_reptans","glm","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.86,0.335,0.287236999381092,0.609
"6",6,"Ajuga_reptans","gam","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.931,0.546,0.259922838500259,0.822
"7",7,"Ajuga_reptans","gam","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.907,0.49,0.388250002542006,0.743
"8",8,"Ajuga_reptans","gam","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.781,0.335,1.18955742226699,0.508
"9",9,"Ajuga_reptans","gam","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.819,0.578,1.87491790754797,0.669
"10",10,"Ajuga_reptans","gam","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.749,0.396,4.46689769519433,0.508
"11",11,"Ajuga_reptans","rf","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.979,0.783,0.151357337005599,0.885
"12",12,"Ajuga_reptans","rf","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.983,0.746,0.146297399721457,0.917
"13",13,"Ajuga_reptans","rf","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.886,0.614,0.253622535320148,0.664
"14",14,"Ajuga_reptans","rf","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.947,0.705,0.178438780572132,0.77
"15",15,"Ajuga_reptans","rf","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.909,0.658,0.207573280589203,0.762
"16",16,"Ajuga_reptans","brt","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.874,0.318,0.332569466229405,0.672
"17",17,"Ajuga_reptans","brt","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.901,0.319,0.334709960022868,0.722
"18",18,"Ajuga_reptans","brt","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.838,0.281,0.347453266005548,0.582
"19",19,"Ajuga_reptans","brt","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.91,0.426,0.315961177960748,0.723
"20",20,"Ajuga_reptans","brt","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.914,0.389,0.296344476427335,0.78
"21",21,"Ajuga_reptans","mda","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.867,0.314,0.474406666690324,0.686
"22",22,"Ajuga_reptans","mda","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.797,0.245,0.684213166703617,0.665
"23",23,"Ajuga_reptans","mda","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.854,0.335,0.446148271698145,0.739
"24",24,"Ajuga_reptans","mda","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.97,0.667,0.193484447197452,0.863
"25",25,"Ajuga_reptans","mda","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.812,0.16,0.913541567263652,0.607
"26",26,"Ajuga_reptans","fda","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.823,0.301,0.350664700135428,0.581
"27",27,"Ajuga_reptans","fda","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.857,0.185,0.366169610163546,0.591
"28",28,"Ajuga_reptans","fda","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.814,0.23,0.376453564244047,0.666
"29",29,"Ajuga_reptans","fda","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.9,0.364,0.283488505241556,0.827
"30",30,"Ajuga_reptans","fda","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.857,0.278,0.321475397594411,0.623
"31",31,"Anastrophyllum_donnianum","glm","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.991,0.807,0.154537265584863,0.938
"32",32,"Anastrophyllum_donnianum","glm","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.979,0.773,0.176501350896606,0.943
"33",33,"Anastrophyllum_donnianum","glm","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.951,0.695,0.352857021947856,0.88
"34",34,"Anastrophyllum_donnianum","glm","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.95,0.729,0.717088196763973,0.88
"35",35,"Anastrophyllum_donnianum","glm","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.965,0.662,0.263300138239937,0.911
"36",36,"Anastrophyllum_donnianum","gam","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.984,0.822,0.914927764328333,0.964
"37",37,"Anastrophyllum_donnianum","gam","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.992,0.834,0.125445908634548,0.969
"38",38,"Anastrophyllum_donnianum","gam","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.96,0.812,0.456571454719902,0.922
"39",39,"Anastrophyllum_donnianum","gam","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.932,0.844,1.1011669678612,0.87
"40",40,"Anastrophyllum_donnianum","gam","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.978,0.738,0.197209024808384,0.932
"41",41,"Anastrophyllum_donnianum","rf","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.996,0.895,0.100666943454115,0.948
"42",42,"Anastrophyllum_donnianum","rf","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.995,0.896,0.0992794253955175,0.964
"43",43,"Anastrophyllum_donnianum","rf","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.997,0.899,0.0961737905178815,0.969
"44",44,"Anastrophyllum_donnianum","rf","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.99,0.872,0.145974270634908,0.901
"45",45,"Anastrophyllum_donnianum","rf","cross_validation",5,TRUE,TRUE,TRUE,FALSE,1,0.951,0.0701988719348173,1
"46",46,"Anastrophyllum_donnianum","brt","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.991,0.833,0.225320334594918,0.958
"47",47,"Anastrophyllum_donnianum","brt","cross_validation",2,TRUE,TRUE,TRUE,FALSE,0.98,0.758,0.257206838660943,0.943
"48",48,"Anastrophyllum_donnianum","brt","cross_validation",3,TRUE,TRUE,TRUE,FALSE,0.978,0.687,0.277889860766999,0.943
"49",49,"Anastrophyllum_donnianum","brt","cross_validation",4,TRUE,TRUE,TRUE,FALSE,0.988,0.802,0.255500081518433,0.927
"50",50,"Anastrophyllum_donnianum","brt","cross_validation",5,TRUE,TRUE,TRUE,FALSE,0.979,0.754,0.268905924888454,0.937
"51",51,"Anastrophyllum_donnianum","mda","cross_validation",1,TRUE,TRUE,TRUE,FALSE,0.973,0.756,0.352079247235386,0.953
